,Name,Chr,Position,Embryo_4006p1_B4_1_PGD4006
1:900001-1000000,1:900001-1000000,1,900001,-2.5
1:1000001-1100000,1:1000001-1100000,1,1000001,-2.5
1:1100001-1200000,1:1100001-1200000,1,1100001,-2.5
1:1200001-1300000,1:1200001-1300000,1,1200001,-2.5
1:1300001-1400000,1:1300001-1400000,1,1300001,-2.5
1:1400001-1500000,1:1400001-1500000,1,1400001,-2.5
1:1700001-1800000,1:1700001-1800000,1,1700001,-2.5
1:1900001-2000000,1:1900001-2000000,1,1900001,-2.5
1:2000001-2100000,1:2000001-2100000,1,2000001,-2.5
1:2100001-2200000,1:2100001-2200000,1,2100001,-2.5
1:2200001-2300000,1:2200001-2300000,1,2200001,-2.5
1:2300001-2400000,1:2300001-2400000,1,2300001,-2.5
1:2400001-2500000,1:2400001-2500000,1,2400001,-2.5
1:2700001-2800000,1:2700001-2800000,1,2700001,-2.5
1:2800001-2900000,1:2800001-2900000,1,2800001,-2.5
1:2900001-3000000,1:2900001-3000000,1,2900001,-2.5
1:3000001-3100000,1:3000001-3100000,1,3000001,-2.5
1:3100001-3200000,1:3100001-3200000,1,3100001,-2.5
1:3200001-3300000,1:3200001-3300000,1,3200001,-2.5
1:3300001-3400000,1:3300001-3400000,1,3300001,-2.5
1:3400001-3500000,1:3400001-3500000,1,3400001,-2.5
1:3500001-3600000,1:3500001-3600000,1,3500001,-2.5
1:3700001-3800000,1:3700001-3800000,1,3700001,-2.5
1:3800001-3900000,1:3800001-3900000,1,3800001,-2.5
1:3900001-4000000,1:3900001-4000000,1,3900001,-2.5
1:4000001-4100000,1:4000001-4100000,1,4000001,-2.5
1:4100001-4200000,1:4100001-4200000,1,4100001,-2.5
1:4200001-4300000,1:4200001-4300000,1,4200001,-2.5
1:4500001-4600000,1:4500001-4600000,1,4500001,-2.5
1:4600001-4700000,1:4600001-4700000,1,4600001,-2.5
1:4700001-4800000,1:4700001-4800000,1,4700001,-2.5
1:4800001-4900000,1:4800001-4900000,1,4800001,-2.5
1:4900001-5000000,1:4900001-5000000,1,4900001,-2.5
1:5000001-5100000,1:5000001-5100000,1,5000001,-2.5
1:5100001-5200000,1:5100001-5200000,1,5100001,-2.5
1:5200001-5300000,1:5200001-5300000,1,5200001,-2.5
1:5300001-5400000,1:5300001-5400000,1,5300001,-2.5
1:5400001-5500000,1:5400001-5500000,1,5400001,-2.5
1:5500001-5600000,1:5500001-5600000,1,5500001,-2.5
1:5600001-5700000,1:5600001-5700000,1,5600001,-2.5
1:5800001-5900000,1:5800001-5900000,1,5800001,-2.5
1:5900001-6000000,1:5900001-6000000,1,5900001,-2.5
1:6000001-6100000,1:6000001-6100000,1,6000001,-2.5
1:6100001-6200000,1:6100001-6200000,1,6100001,-2.5
1:6200001-6300000,1:6200001-6300000,1,6200001,-2.5
1:6300001-6400000,1:6300001-6400000,1,6300001,-2.5
1:6400001-6500000,1:6400001-6500000,1,6400001,-2.5
1:6500001-6600000,1:6500001-6600000,1,6500001,-2.5
1:6600001-6700000,1:6600001-6700000,1,6600001,-2.5
1:6700001-6800000,1:6700001-6800000,1,6700001,-2.5
1:6800001-6900000,1:6800001-6900000,1,6800001,-2.5
1:6900001-7000000,1:6900001-7000000,1,6900001,-2.5
1:7000001-7100000,1:7000001-7100000,1,7000001,-2.5
1:7100001-7200000,1:7100001-7200000,1,7100001,-2.5
1:7200001-7300000,1:7200001-7300000,1,7200001,-2.5
1:7300001-7400000,1:7300001-7400000,1,7300001,-2.5
1:7400001-7500000,1:7400001-7500000,1,7400001,-2.5
1:7500001-7600000,1:7500001-7600000,1,7500001,-2.5
1:7600001-7700000,1:7600001-7700000,1,7600001,-2.5
1:7700001-7800000,1:7700001-7800000,1,7700001,-2.5
1:7800001-7900000,1:7800001-7900000,1,7800001,-2.5
1:7900001-8000000,1:7900001-8000000,1,7900001,-2.5
1:8000001-8100000,1:8000001-8100000,1,8000001,-2.5
1:8100001-8200000,1:8100001-8200000,1,8100001,-2.5
1:8200001-8300000,1:8200001-8300000,1,8200001,-2.5
1:8300001-8400000,1:8300001-8400000,1,8300001,-2.5
1:8400001-8500000,1:8400001-8500000,1,8400001,-2.5
1:8500001-8600000,1:8500001-8600000,1,8500001,-2.5
1:8600001-8700000,1:8600001-8700000,1,8600001,-2.5
1:8700001-8800000,1:8700001-8800000,1,8700001,-2.5
1:8800001-8900000,1:8800001-8900000,1,8800001,-2.5
1:8900001-9000000,1:8900001-9000000,1,8900001,-2.5
1:9000001-9100000,1:9000001-9100000,1,9000001,-2.5
1:9100001-9200000,1:9100001-9200000,1,9100001,-2.5
1:9200001-9300000,1:9200001-9300000,1,9200001,-2.5
1:9300001-9400000,1:9300001-9400000,1,9300001,-2.5
1:9400001-9500000,1:9400001-9500000,1,9400001,-2.5
1:9500001-9600000,1:9500001-9600000,1,9500001,-2.5
1:9600001-9700000,1:9600001-9700000,1,9600001,-2.5
1:9700001-9800000,1:9700001-9800000,1,9700001,-2.5
1:9800001-9900000,1:9800001-9900000,1,9800001,-2.5
1:9900001-10000000,1:9900001-10000000,1,9900001,-2.5
1:10000001-10100000,1:10000001-10100000,1,10000001,-2.5
1:10100001-10200000,1:10100001-10200000,1,10100001,-2.5
1:10200001-10300000,1:10200001-10300000,1,10200001,-2.5
1:10300001-10400000,1:10300001-10400000,1,10300001,-2.5
1:10400001-10500000,1:10400001-10500000,1,10400001,-2.5
1:10500001-10600000,1:10500001-10600000,1,10500001,-2.5
1:10600001-10700000,1:10600001-10700000,1,10600001,-2.5
1:10700001-10800000,1:10700001-10800000,1,10700001,-2.5
1:10800001-10900000,1:10800001-10900000,1,10800001,-2.5
1:10900001-11000000,1:10900001-11000000,1,10900001,-2.5
1:11000001-11100000,1:11000001-11100000,1,11000001,-2.5
1:11100001-11200000,1:11100001-11200000,1,11100001,-2.5
1:11200001-11300000,1:11200001-11300000,1,11200001,-2.5
1:11300001-11400000,1:11300001-11400000,1,11300001,-2.5
1:11400001-11500000,1:11400001-11500000,1,11400001,-2.5
1:11500001-11600000,1:11500001-11600000,1,11500001,-2.5
1:11600001-11700000,1:11600001-11700000,1,11600001,-2.5
1:11700001-11800000,1:11700001-11800000,1,11700001,-2.5
1:11800001-11900000,1:11800001-11900000,1,11800001,-2.5
1:11900001-12000000,1:11900001-12000000,1,11900001,-2.5
1:12000001-12100000,1:12000001-12100000,1,12000001,-2.5
1:12100001-12200000,1:12100001-12200000,1,12100001,-2.5
1:12200001-12300000,1:12200001-12300000,1,12200001,-2.5
1:12300001-12400000,1:12300001-12400000,1,12300001,-2.5
1:12400001-12500000,1:12400001-12500000,1,12400001,-2.5
1:12500001-12600000,1:12500001-12600000,1,12500001,-2.5
1:12600001-12700000,1:12600001-12700000,1,12600001,-2.5
1:12700001-12800000,1:12700001-12800000,1,12700001,-2.5
1:13800001-13900000,1:13800001-13900000,1,13800001,-2.5
1:13900001-14000000,1:13900001-14000000,1,13900001,-2.5
1:14000001-14100000,1:14000001-14100000,1,14000001,-2.5
1:14100001-14200000,1:14100001-14200000,1,14100001,-2.5
1:14200001-14300000,1:14200001-14300000,1,14200001,-2.5
1:14300001-14400000,1:14300001-14400000,1,14300001,-2.5
1:14400001-14500000,1:14400001-14500000,1,14400001,-2.5
1:14500001-14600000,1:14500001-14600000,1,14500001,-2.5
1:14600001-14700000,1:14600001-14700000,1,14600001,-2.5
1:14700001-14800000,1:14700001-14800000,1,14700001,-2.5
1:14800001-14900000,1:14800001-14900000,1,14800001,-2.5
1:14900001-15000000,1:14900001-15000000,1,14900001,-2.5
1:15000001-15100000,1:15000001-15100000,1,15000001,-2.5
1:15100001-15200000,1:15100001-15200000,1,15100001,-2.5
1:15200001-15300000,1:15200001-15300000,1,15200001,-2.5
1:15300001-15400000,1:15300001-15400000,1,15300001,-2.5
1:15400001-15500000,1:15400001-15500000,1,15400001,-2.5
1:15500001-15600000,1:15500001-15600000,1,15500001,-2.5
1:15600001-15700000,1:15600001-15700000,1,15600001,-2.5
1:15700001-15800000,1:15700001-15800000,1,15700001,-2.5
1:15800001-15900000,1:15800001-15900000,1,15800001,-2.5
1:15900001-16000000,1:15900001-16000000,1,15900001,-2.5
1:16000001-16100000,1:16000001-16100000,1,16000001,-2.5
1:16100001-16200000,1:16100001-16200000,1,16100001,-2.5
1:16200001-16300000,1:16200001-16300000,1,16200001,-2.5
1:16400001-16500000,1:16400001-16500000,1,16400001,-2.5
1:16500001-16600000,1:16500001-16600000,1,16500001,-2.5
1:16600001-16700000,1:16600001-16700000,1,16600001,-2.5
1:16700001-16800000,1:16700001-16800000,1,16700001,-2.5
1:17300001-17400000,1:17300001-17400000,1,17300001,-2.5
1:17400001-17500000,1:17400001-17500000,1,17400001,-2.5
1:17600001-17700000,1:17600001-17700000,1,17600001,-2.5
1:17700001-17800000,1:17700001-17800000,1,17700001,-2.5
1:17800001-17900000,1:17800001-17900000,1,17800001,-2.5
1:17900001-18000000,1:17900001-18000000,1,17900001,-2.5
1:18000001-18100000,1:18000001-18100000,1,18000001,-2.5
1:18100001-18200000,1:18100001-18200000,1,18100001,-2.5
1:18200001-18300000,1:18200001-18300000,1,18200001,-2.5
1:18300001-18400000,1:18300001-18400000,1,18300001,-2.5
1:18400001-18500000,1:18400001-18500000,1,18400001,-2.5
1:18500001-18600000,1:18500001-18600000,1,18500001,-2.5
1:18600001-18700000,1:18600001-18700000,1,18600001,-2.5
1:18700001-18800000,1:18700001-18800000,1,18700001,-2.5
1:18800001-18900000,1:18800001-18900000,1,18800001,-2.5
1:18900001-19000000,1:18900001-19000000,1,18900001,-2.5
1:19000001-19100000,1:19000001-19100000,1,19000001,-2.5
1:19100001-19200000,1:19100001-19200000,1,19100001,-2.5
1:19200001-19300000,1:19200001-19300000,1,19200001,-2.5
1:19300001-19400000,1:19300001-19400000,1,19300001,-2.5
1:19400001-19500000,1:19400001-19500000,1,19400001,-2.5
1:19500001-19600000,1:19500001-19600000,1,19500001,-2.5
1:19600001-19700000,1:19600001-19700000,1,19600001,-2.5
1:19700001-19800000,1:19700001-19800000,1,19700001,-2.5
1:19800001-19900000,1:19800001-19900000,1,19800001,-2.5
1:19900001-20000000,1:19900001-20000000,1,19900001,-2.5
1:20000001-20100000,1:20000001-20100000,1,20000001,-2.5
1:20100001-20200000,1:20100001-20200000,1,20100001,-2.5
1:20200001-20300000,1:20200001-20300000,1,20200001,-2.5
1:20300001-20400000,1:20300001-20400000,1,20300001,-2.5
1:20400001-20500000,1:20400001-20500000,1,20400001,-2.5
1:20500001-20600000,1:20500001-20600000,1,20500001,-2.5
1:20600001-20700000,1:20600001-20700000,1,20600001,-2.5
1:20700001-20800000,1:20700001-20800000,1,20700001,-2.5
1:20800001-20900000,1:20800001-20900000,1,20800001,-2.5
1:20900001-21000000,1:20900001-21000000,1,20900001,-2.5
1:21000001-21100000,1:21000001-21100000,1,21000001,-2.5
1:21100001-21200000,1:21100001-21200000,1,21100001,-2.5
1:21200001-21300000,1:21200001-21300000,1,21200001,-2.5
1:21300001-21400000,1:21300001-21400000,1,21300001,-2.5
1:21400001-21500000,1:21400001-21500000,1,21400001,-2.5
1:21500001-21600000,1:21500001-21600000,1,21500001,-2.5
1:21600001-21700000,1:21600001-21700000,1,21600001,-2.5
1:21700001-21800000,1:21700001-21800000,1,21700001,-2.5
1:21800001-21900000,1:21800001-21900000,1,21800001,-2.5
1:21900001-22000000,1:21900001-22000000,1,21900001,-2.5
1:22000001-22100000,1:22000001-22100000,1,22000001,-2.5
1:22100001-22200000,1:22100001-22200000,1,22100001,-2.5
1:22200001-22300000,1:22200001-22300000,1,22200001,-2.5
1:22300001-22400000,1:22300001-22400000,1,22300001,-2.5
1:22400001-22500000,1:22400001-22500000,1,22400001,-2.5
1:22500001-22600000,1:22500001-22600000,1,22500001,-2.5
1:22700001-22800000,1:22700001-22800000,1,22700001,-2.5
1:22800001-22900000,1:22800001-22900000,1,22800001,-2.5
1:22900001-23000000,1:22900001-23000000,1,22900001,-2.5
1:23000001-23100000,1:23000001-23100000,1,23000001,-2.5
1:23100001-23200000,1:23100001-23200000,1,23100001,-2.5
1:23200001-23300000,1:23200001-23300000,1,23200001,-2.5
1:23300001-23400000,1:23300001-23400000,1,23300001,-2.5
1:23400001-23500000,1:23400001-23500000,1,23400001,-2.5
1:23500001-23600000,1:23500001-23600000,1,23500001,-2.5
1:23600001-23700000,1:23600001-23700000,1,23600001,-2.5
1:23700001-23800000,1:23700001-23800000,1,23700001,-2.5
1:23800001-23900000,1:23800001-23900000,1,23800001,-2.5
1:23900001-24000000,1:23900001-24000000,1,23900001,-2.5
1:24000001-24100000,1:24000001-24100000,1,24000001,-2.5
1:24100001-24200000,1:24100001-24200000,1,24100001,-2.5
1:24400001-24500000,1:24400001-24500000,1,24400001,-2.5
1:24500001-24600000,1:24500001-24600000,1,24500001,-2.5
1:24600001-24700000,1:24600001-24700000,1,24600001,-2.5
1:24700001-24800000,1:24700001-24800000,1,24700001,-2.5
1:24800001-24900000,1:24800001-24900000,1,24800001,-2.5
1:24900001-25000000,1:24900001-25000000,1,24900001,-2.5
1:25000001-25100000,1:25000001-25100000,1,25000001,-2.5
1:25100001-25200000,1:25100001-25200000,1,25100001,-2.5
1:25200001-25300000,1:25200001-25300000,1,25200001,-2.5
1:25300001-25400000,1:25300001-25400000,1,25300001,-2.5
1:25500001-25600000,1:25500001-25600000,1,25500001,-2.5
1:25800001-25900000,1:25800001-25900000,1,25800001,-2.5
1:25900001-26000000,1:25900001-26000000,1,25900001,-2.5
1:26000001-26100000,1:26000001-26100000,1,26000001,-2.5
1:26100001-26200000,1:26100001-26200000,1,26100001,-2.5
1:26200001-26300000,1:26200001-26300000,1,26200001,-2.5
1:26300001-26400000,1:26300001-26400000,1,26300001,-2.5
1:26400001-26500000,1:26400001-26500000,1,26400001,-2.5
1:26500001-26600000,1:26500001-26600000,1,26500001,-2.5
1:26600001-26700000,1:26600001-26700000,1,26600001,-2.5
1:26700001-26800000,1:26700001-26800000,1,26700001,-2.5
1:26800001-26900000,1:26800001-26900000,1,26800001,-2.5
1:26900001-27000000,1:26900001-27000000,1,26900001,-2.5
1:27000001-27100000,1:27000001-27100000,1,27000001,-2.5
1:27100001-27200000,1:27100001-27200000,1,27100001,-2.5
1:27200001-27300000,1:27200001-27300000,1,27200001,-2.5
1:27300001-27400000,1:27300001-27400000,1,27300001,-2.5
1:27400001-27500000,1:27400001-27500000,1,27400001,-2.5
1:27500001-27600000,1:27500001-27600000,1,27500001,-2.5
1:27600001-27700000,1:27600001-27700000,1,27600001,-2.5
1:27700001-27800000,1:27700001-27800000,1,27700001,-2.5
1:27800001-27900000,1:27800001-27900000,1,27800001,-2.5
1:27900001-28000000,1:27900001-28000000,1,27900001,-2.5
1:28000001-28100000,1:28000001-28100000,1,28000001,-2.5
1:28100001-28200000,1:28100001-28200000,1,28100001,-2.5
1:28300001-28400000,1:28300001-28400000,1,28300001,-2.5
1:28400001-28500000,1:28400001-28500000,1,28400001,-2.5
1:28500001-28600000,1:28500001-28600000,1,28500001,-2.5
1:28600001-28700000,1:28600001-28700000,1,28600001,-2.5
1:28700001-28800000,1:28700001-28800000,1,28700001,-2.5
1:28800001-28900000,1:28800001-28900000,1,28800001,-2.5
1:28900001-29000000,1:28900001-29000000,1,28900001,-2.5
1:29000001-29100000,1:29000001-29100000,1,29000001,-2.5
1:29100001-29200000,1:29100001-29200000,1,29100001,-2.5
1:29200001-29300000,1:29200001-29300000,1,29200001,-2.5
1:29300001-29400000,1:29300001-29400000,1,29300001,-2.5
1:29400001-29500000,1:29400001-29500000,1,29400001,-2.5
1:29500001-29600000,1:29500001-29600000,1,29500001,-2.5
1:29600001-29700000,1:29600001-29700000,1,29600001,-2.5
1:29700001-29800000,1:29700001-29800000,1,29700001,-2.5
1:29800001-29900000,1:29800001-29900000,1,29800001,-2.5
1:30000001-30100000,1:30000001-30100000,1,30000001,-2.5
1:30100001-30200000,1:30100001-30200000,1,30100001,-2.5
1:30200001-30300000,1:30200001-30300000,1,30200001,-2.5
1:30300001-30400000,1:30300001-30400000,1,30300001,-2.5
1:30400001-30500000,1:30400001-30500000,1,30400001,-2.5
1:30500001-30600000,1:30500001-30600000,1,30500001,-2.5
1:30600001-30700000,1:30600001-30700000,1,30600001,-2.5
1:30700001-30800000,1:30700001-30800000,1,30700001,-2.5
1:30900001-31000000,1:30900001-31000000,1,30900001,-2.5
1:31000001-31100000,1:31000001-31100000,1,31000001,-2.5
1:31100001-31200000,1:31100001-31200000,1,31100001,-2.5
1:31300001-31400000,1:31300001-31400000,1,31300001,-2.5
1:31400001-31500000,1:31400001-31500000,1,31400001,-2.5
1:31500001-31600000,1:31500001-31600000,1,31500001,-2.5
1:31600001-31700000,1:31600001-31700000,1,31600001,-2.5
1:31700001-31800000,1:31700001-31800000,1,31700001,-2.5
1:31800001-31900000,1:31800001-31900000,1,31800001,-2.5
1:31900001-32000000,1:31900001-32000000,1,31900001,-2.5
1:32000001-32100000,1:32000001-32100000,1,32000001,-2.5
1:32100001-32200000,1:32100001-32200000,1,32100001,-2.5
1:32200001-32300000,1:32200001-32300000,1,32200001,-2.5
1:32300001-32400000,1:32300001-32400000,1,32300001,-2.5
1:32400001-32500000,1:32400001-32500000,1,32400001,-2.5
1:32500001-32600000,1:32500001-32600000,1,32500001,-2.5
1:32600001-32700000,1:32600001-32700000,1,32600001,-2.5
1:32700001-32800000,1:32700001-32800000,1,32700001,-2.5
1:32900001-33000000,1:32900001-33000000,1,32900001,-2.5
1:33000001-33100000,1:33000001-33100000,1,33000001,-2.5
1:33100001-33200000,1:33100001-33200000,1,33100001,-2.5
1:33200001-33300000,1:33200001-33300000,1,33200001,-2.5
1:33300001-33400000,1:33300001-33400000,1,33300001,-2.5
1:33400001-33500000,1:33400001-33500000,1,33400001,-2.5
1:33500001-33600000,1:33500001-33600000,1,33500001,-2.5
1:33600001-33700000,1:33600001-33700000,1,33600001,-2.5
1:33700001-33800000,1:33700001-33800000,1,33700001,-2.5
1:33800001-33900000,1:33800001-33900000,1,33800001,-2.5
1:33900001-34000000,1:33900001-34000000,1,33900001,-2.5
1:34000001-34100000,1:34000001-34100000,1,34000001,-2.5
1:34100001-34200000,1:34100001-34200000,1,34100001,-2.5
1:34200001-34300000,1:34200001-34300000,1,34200001,-2.5
1:34300001-34400000,1:34300001-34400000,1,34300001,-2.5
1:34400001-34500000,1:34400001-34500000,1,34400001,-2.5
1:34500001-34600000,1:34500001-34600000,1,34500001,-2.5
1:34600001-34700000,1:34600001-34700000,1,34600001,-2.5
1:34700001-34800000,1:34700001-34800000,1,34700001,-2.5
1:34800001-34900000,1:34800001-34900000,1,34800001,-2.5
1:34900001-35000000,1:34900001-35000000,1,34900001,-2.5
1:35000001-35100000,1:35000001-35100000,1,35000001,-2.5
1:35100001-35200000,1:35100001-35200000,1,35100001,-2.5
1:35200001-35300000,1:35200001-35300000,1,35200001,-2.5
1:35300001-35400000,1:35300001-35400000,1,35300001,-2.5
1:35400001-35500000,1:35400001-35500000,1,35400001,-2.5
1:35500001-35600000,1:35500001-35600000,1,35500001,-2.5
1:35600001-35700000,1:35600001-35700000,1,35600001,-2.5
1:35700001-35800000,1:35700001-35800000,1,35700001,-2.5
