,Name,Chr,Position,Embryo_4006p1_B4_1_PGD4006
1_234894,1_234894,1,234894,0.03707576
1_525758,1_525758,1,525758,0.03707576
1_921660,1_921660,1,921660,0.03707576
1_943687,1_943687,1,943687,0.03707576
1_944564,1_944564,1,944564,0.03707576
1_951564,1_951564,1,951564,0.03707576
1_998582,1_998582,1,998582,0.03707576
1_1110070,1_1110070,1,1110070,0.03707576
1_1538046,1_1538046,1,1538046,0.03707576
1_1615764,1_1615764,1,1615764,0.03707576
1_1635022,1_1635022,1,1635022,0.03707576
1_1883081,1_1883081,1,1883081,0.03707576
1_2025311,1_2025311,1,2025311,0.03707576
1_2111376,1_2111376,1,2111376,0.03707576
1_2274884,1_2274884,1,2274884,0.03707576
1_2283896,1_2283896,1,2283896,0.03707576
1_2292155,1_2292155,1,2292155,0.03707576
1_2324881,1_2324881,1,2324881,0.03707576
1_2354016,1_2354016,1,2354016,0.03707576
1_2369498,1_2369498,1,2369498,0.03707576
1_2373089,1_2373089,1,2373089,0.03707576
1_2446960,1_2446960,1,2446960,0.03707576
1_3001282,1_3001282,1,3001282,0.03707576
1_3001703,1_3001703,1,3001703,0.03707576
1_3022711,1_3022711,1,3022711,0.03707576
1_3058370,1_3058370,1,3058370,0.03707576
1_3070829,1_3070829,1,3070829,0.03707576
1_3070998,1_3070998,1,3070998,0.03707576
1_3103826,1_3103826,1,3103826,0.03707576
1_3181699,1_3181699,1,3181699,0.03707576
1_3182232,1_3182232,1,3182232,0.03707576
1_3182238,1_3182238,1,3182238,0.03707576
1_3182255,1_3182255,1,3182255,0.03707576
1_3193298,1_3193298,1,3193298,0.03707576
1_3208830,1_3208830,1,3208830,0.03707576
1_3434984,1_3434984,1,3434984,0.03707576
1_3440028,1_3440028,1,3440028,0.03707576
1_3440114,1_3440114,1,3440114,0.03707576
1_3518487,1_3518487,1,3518487,0.03707576
1_3518488,1_3518488,1,3518488,0.03707576
1_3518728,1_3518728,1,3518728,0.03707576
1_3518743,1_3518743,1,3518743,0.03707576
1_3528537,1_3528537,1,3528537,0.03707576
1_3528674,1_3528674,1,3528674,0.03707576
1_3578360,1_3578360,1,3578360,0.03707576
1_3613770,1_3613770,1,3613770,0.03707576
1_3613921,1_3613921,1,3613921,0.03707576
1_3621479,1_3621479,1,3621479,0.03707576
1_3623414,1_3623414,1,3623414,0.03707576
1_3628920,1_3628920,1,3628920,0.03707576
1_3629062,1_3629062,1,3629062,0.03707576
1_4004813,1_4004813,1,4004813,0.03707576
1_4008029,1_4008029,1,4008029,0.03707576
1_4031644,1_4031644,1,4031644,0.03707576
1_4201349,1_4201349,1,4201349,0.03707576
1_4236982,1_4236982,1,4236982,0.03707576
1_4237162,1_4237162,1,4237162,0.03707576
1_4238264,1_4238264,1,4238264,0.03707576
1_4240861,1_4240861,1,4240861,0.03707576
1_4293892,1_4293892,1,4293892,0.03707576
1_4434964,1_4434964,1,4434964,0.03707576
1_4579239,1_4579239,1,4579239,0.03707576
1_4657295,1_4657295,1,4657295,0.03707576
1_4668094,1_4668094,1,4668094,0.03707576
1_4676937,1_4676937,1,4676937,0.03707576
1_4682104,1_4682104,1,4682104,0.03707576
1_4694663,1_4694663,1,4694663,0.03707576
1_4797758,1_4797758,1,4797758,0.03707576
1_4826050,1_4826050,1,4826050,0.03707576
1_4826063,1_4826063,1,4826063,0.03707576
1_4838146,1_4838146,1,4838146,0.03707576
1_4839048,1_4839048,1,4839048,0.03707576
1_4926725,1_4926725,1,4926725,0.03707576
1_4941854,1_4941854,1,4941854,0.03707576
1_4951789,1_4951789,1,4951789,0.03707576
1_4956070,1_4956070,1,4956070,0.03707576
1_4991218,1_4991218,1,4991218,0.03707576
1_5073536,1_5073536,1,5073536,0.03707576
1_5073658,1_5073658,1,5073658,0.03707576
1_5136844,1_5136844,1,5136844,0.03707576
1_5238873,1_5238873,1,5238873,0.03707576
1_5253664,1_5253664,1,5253664,0.03707576
1_5299941,1_5299941,1,5299941,0.03707576
